Sample_Name,barcode,Basename,Sentrix_ID,Type,Condition,Sample_Group
HC-SEN_1,207131890154_R01C01,/mnt/beegfs/idevillasante/Projects/SG0002/data-raw/idats/207131890154/207131890154_R01C01,207131890154,No,Control,Control_No
HC-SEN_10,206947710087_R02C01,/mnt/beegfs/idevillasante/Projects/SG0002/data-raw/idats/206947710087/206947710087_R02C01,206947710087,Dox,TAT,TAT_Dox
HC-SEN_11,206947710087_R03C01,/mnt/beegfs/idevillasante/Projects/SG0002/data-raw/idats/206947710087/206947710087_R03C01,206947710087,No,Exon1,Exon1_No
HC-SEN_12,206947710087_R04C01,/mnt/beegfs/idevillasante/Projects/SG0002/data-raw/idats/206947710087/206947710087_R04C01,206947710087,Dox,Exon1,Exon1_Dox
HC-SEN_13,206947710087_R05C01,/mnt/beegfs/idevillasante/Projects/SG0002/data-raw/idats/206947710087/206947710087_R05C01,206947710087,No,Control,Control_No
HC-SEN_14,206947710087_R06C01,/mnt/beegfs/idevillasante/Projects/SG0002/data-raw/idats/206947710087/206947710087_R06C01,206947710087,No,TAT,TAT_No
HC-SEN_15,206947710087_R07C01,/mnt/beegfs/idevillasante/Projects/SG0002/data-raw/idats/206947710087/206947710087_R07C01,206947710087,Dox,TAT,TAT_Dox
HC-SEN_16,206947710087_R08C01,/mnt/beegfs/idevillasante/Projects/SG0002/data-raw/idats/206947710087/206947710087_R08C01,206947710087,No,Exon1,Exon1_No
HC-SEN_2,207131890154_R02C01,/mnt/beegfs/idevillasante/Projects/SG0002/data-raw/idats/207131890154/207131890154_R02C01,207131890154,Dox,Control,Control_Dox
HC-SEN_3,207131890154_R03C01,/mnt/beegfs/idevillasante/Projects/SG0002/data-raw/idats/207131890154/207131890154_R03C01,207131890154,No,TAT,TAT_No
HC-SEN_4,207131890154_R04C01,/mnt/beegfs/idevillasante/Projects/SG0002/data-raw/idats/207131890154/207131890154_R04C01,207131890154,Dox,TAT,TAT_Dox
HC-SEN_5,207131890154_R05C01,/mnt/beegfs/idevillasante/Projects/SG0002/data-raw/idats/207131890154/207131890154_R05C01,207131890154,No,Exon1,Exon1_No
HC-SEN_6,207131890154_R06C01,/mnt/beegfs/idevillasante/Projects/SG0002/data-raw/idats/207131890154/207131890154_R06C01,207131890154,Dox,Exon1,Exon1_Dox
HC-SEN_7,207131890154_R07C01,/mnt/beegfs/idevillasante/Projects/SG0002/data-raw/idats/207131890154/207131890154_R07C01,207131890154,No,Control,Control_No
HC-SEN_8,207131890154_R08C01,/mnt/beegfs/idevillasante/Projects/SG0002/data-raw/idats/207131890154/207131890154_R08C01,207131890154,Dox,Control,Control_Dox
HC-SEN_9,206947710087_R01C01,/mnt/beegfs/idevillasante/Projects/SG0002/data-raw/idats/206947710087/206947710087_R01C01,206947710087,No,TAT,TAT_No
